"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5,C6,C8,C10,C12,C14,C15,C17,C19","12","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2,C7,C9,C11,C13","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C16","1","10uF","","","","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_HandSolder",""
"C18","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C20,C21","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C22","1","0.01uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","5V_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D2,D4","2","3V3_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D3","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D5","1","USB_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"F1","1","PTCSMD","","","","Fuse:Fuse_1812_4532Metric",""
"J1","1","BATT_CONN","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J2","1","M1_CONN","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J3","1","M2_CONN","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J4","1","Conn_01x08","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J5","1","Conn_02x04_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"J6","1","ENCODER_CONN","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J7","1","ENCODER_CONN","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J8","1","MT6701_CONN","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",""
"J9","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2,R4,R7,R10","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R5,R6","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8,R9","2","22k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"S1","1","REGULATOR_SWITCH","","","","SW_SLW-66527511-SMT-TR:SW_SLW-66527511-SMT-TR",""
"S2","1","SLW-66527511-SMT-TR","","","","SW_SLW-66527511-SMT-TR:SW_SLW-66527511-SMT-TR",""
"SW1","1","SW_uP_Reset","","","","SW_uP_Reset:SW_uP_Reset",""
"U1","1","STM32F401RBTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f401rb.pdf"
"U2,U3","2","LD1117S50TR_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"U4","1","TB6612FNG","","","","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html"
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",""
